sample	ID	type	field	Parcelle	local	quadrats	code	Espece	Abond.per
6318	15ABM1	organic	15	M	Bsh	Q8	15ABM1organic15Bsh	Agrostis capillaris	2
820	16ABM	organic	16	M	Bsh	Q1	16ABMorganic16Bsh	Agrostis capillaris	15
1540	16ABM	organic	16	M	Bsh	Q10	16ABMorganic16Bsh	Agrostis capillaris	30
2922	16ABM	organic	16	M	Bsh	Q3	16ABMorganic16Bsh	Agrostis capillaris	20
3609	16ABM	organic	16	M	Bsh	Q4	16ABMorganic16Bsh	Agrostis capillaris	8
4316	16ABM	organic	16	M	Bsh	Q5	16ABMorganic16Bsh	Agrostis capillaris	25
5004	16ABM	organic	16	M	Bsh	Q6	16ABMorganic16Bsh	Agrostis capillaris	2
5656	16ABM	organic	16	M	Bsh	Q7	16ABMorganic16Bsh	Agrostis capillaris	7
6339	16ABM	organic	16	M	Bsh	Q8	16ABMorganic16Bsh	Agrostis capillaris	27
7041	16ABM	organic	16	M	Bsh	Q9	16ABMorganic16Bsh	Agrostis capillaris	8
4338	17ABP	organic	17	P	Bsh	Q5	17ABPorganic17Bsh	Agrostis capillaris	5
859	18ABP	organic	18	P	Bsh	Q1	18ABPorganic18Bsh	Agrostis capillaris	30
1565	18ABP	organic	18	P	Bsh	Q10	18ABPorganic18Bsh	Agrostis capillaris	5
2952	18ABP	organic	18	P	Bsh	Q3	18ABPorganic18Bsh	Agrostis capillaris	5
3647	18ABP	organic	18	P	Bsh	Q4	18ABPorganic18Bsh	Agrostis capillaris	5
4361	18ABP	organic	18	P	Bsh	Q5	18ABPorganic18Bsh	Agrostis capillaris	70
5044	18ABP	organic	18	P	Bsh	Q6	18ABPorganic18Bsh	Agrostis capillaris	30
5692	18ABP	organic	18	P	Bsh	Q7	18ABPorganic18Bsh	Agrostis capillaris	70
6362	18ABP	organic	18	P	Bsh	Q8	18ABPorganic18Bsh	Agrostis capillaris	10
7068	18ABP	organic	18	P	Bsh	Q9	18ABPorganic18Bsh	Agrostis capillaris	5
874	19ABP	organic	19	P	Bsh	Q1	19ABPorganic19Bsh	Agrostis capillaris	30
2280	19ABP	organic	19	P	Bsh	Q2	19ABPorganic19Bsh	Agrostis capillaris	30
2965	19ABP	organic	19	P	Bsh	Q3	19ABPorganic19Bsh	Agrostis capillaris	30
3661	19ABP	organic	19	P	Bsh	Q4	19ABPorganic19Bsh	Agrostis capillaris	30
4380	19ABP	organic	19	P	Bsh	Q5	19ABPorganic19Bsh	Agrostis capillaris	30
5054	19ABP	organic	19	P	Bsh	Q6	19ABPorganic19Bsh	Agrostis capillaris	20
5707	19ABP	organic	19	P	Bsh	Q7	19ABPorganic19Bsh	Agrostis capillaris	10
6379	19ABP	organic	19	P	Bsh	Q8	19ABPorganic19Bsh	Agrostis capillaris	10
7080	19ABP	organic	19	P	Bsh	Q9	19ABPorganic19Bsh	Agrostis capillaris	5
912	22ABM	organic	22	M	Bsh	Q1	22ABMorganic22Bsh	Agrostis capillaris	25
1631	22ABM	organic	22	M	Bsh	Q10	22ABMorganic22Bsh	Agrostis capillaris	25
2321	22ABM	organic	22	M	Bsh	Q2	22ABMorganic22Bsh	Agrostis capillaris	20
3005	22ABM	organic	22	M	Bsh	Q3	22ABMorganic22Bsh	Agrostis capillaris	25
3708	22ABM	organic	22	M	Bsh	Q4	22ABMorganic22Bsh	Agrostis capillaris	2
4421	22ABM	organic	22	M	Bsh	Q5	22ABMorganic22Bsh	Agrostis capillaris	20
5097	22ABM	organic	22	M	Bsh	Q6	22ABMorganic22Bsh	Agrostis capillaris	5
5756	22ABM	organic	22	M	Bsh	Q7	22ABMorganic22Bsh	Agrostis capillaris	20
6430	22ABM	organic	22	M	Bsh	Q8	22ABMorganic22Bsh	Agrostis capillaris	15
7131	22ABM	organic	22	M	Bsh	Q9	22ABMorganic22Bsh	Agrostis capillaris	15
3356	2ABP	organic	2	P	Bsh	Q4	2ABPorganic2Bsh	Agrostis capillaris	5
6845	5ABP	organic	5	P	Bsh	Q9	5ABPorganic5Bsh	Agrostis capillaris	2
3484	9ABP	organic	9	P	Bsh	Q4	9ABPorganic9Bsh	Agrostis capillaris	5
467	16AC	conventional	16	P	Bh	Q1	16ACconventional16Bh	Agrostis gigantea	5
1868	16AC	conventional	16	P	Bh	Q2	16ACconventional16Bh	Agrostis gigantea	2
2570	16AC	conventional	16	P	Bh	Q3	16ACconventional16Bh	Agrostis gigantea	3
4657	16AC	conventional	16	P	Bh	Q6	16ACconventional16Bh	Agrostis gigantea	5
5320	16AC	conventional	16	P	Bh	Q7	16ACconventional16Bh	Agrostis gigantea	5
6671	16AC	conventional	16	P	Bh	Q9	16ACconventional16Bh	Agrostis gigantea	3
3694	21ABP	organic	21	P	Bh	Q4	21ABPorganic21Bh	Agrostis gigantea	70
3523	11ABM	organic	11	M	Bsh	Q4	11ABMorganic11Bsh	Agrostis gigantea	5
1440	12ABP	organic	12	P	Bsh	Q10	12ABPorganic12Bsh	Agrostis gigantea	2
5983	16AC	conventional	16	P	Bh	Q8	16ACconventional16Bh	Agrostis stolonifera	5
6672	16AC	conventional	16	P	Bh	Q9	16ACconventional16Bh	Agrostis stolonifera	3
2579	17AC	conventional	17	P	Bh	Q3	17ACconventional17Bh	Agrostis stolonifera	20
3268	17AC	conventional	17	P	Bh	Q4	17ACconventional17Bh	Agrostis stolonifera	2
491	18AC	conventional	18	P	Bh	Q1	18ACconventional18Bh	Agrostis stolonifera	15
2594	18AC	conventional	18	P	Bh	Q3	18ACconventional18Bh	Agrostis stolonifera	3
6697	18AC	conventional	18	P	Bh	Q9	18ACconventional18Bh	Agrostis stolonifera	20
1001	4AC	conventional	4	P	Bh	Q10	4ACconventional4Bh	Agrostis stolonifera	3
1163	16AC	conventional	16	P	Bsh	Q10	16ACconventional16Bsh	Agrostis stolonifera	5
2571	16AC	conventional	16	P	Bsh	Q3	16ACconventional16Bsh	Agrostis stolonifera	7
3258	16AC	conventional	16	P	Bsh	Q4	16ACconventional16Bsh	Agrostis stolonifera	10
481	17AC	conventional	17	P	Bsh	Q1	17ACconventional17Bsh	Agrostis stolonifera	10
1174	17AC	conventional	17	P	Bsh	Q10	17ACconventional17Bsh	Agrostis stolonifera	70
2580	17AC	conventional	17	P	Bsh	Q3	17ACconventional17Bsh	Agrostis stolonifera	5
3269	17AC	conventional	17	P	Bsh	Q4	17ACconventional17Bsh	Agrostis stolonifera	80
3954	17AC	conventional	17	P	Bsh	Q5	17ACconventional17Bsh	Agrostis stolonifera	90
4668	17AC	conventional	17	P	Bsh	Q6	17ACconventional17Bsh	Agrostis stolonifera	95
5330	17AC	conventional	17	P	Bsh	Q7	17ACconventional17Bsh	Agrostis stolonifera	100
5990	17AC	conventional	17	P	Bsh	Q8	17ACconventional17Bsh	Agrostis stolonifera	93
6683	17AC	conventional	17	P	Bsh	Q9	17ACconventional17Bsh	Agrostis stolonifera	97
522	21AC	conventional	21	P	Bsh	Q1	21ACconventional21Bsh	Agrostis stolonifera	2
1927	21AC	conventional	21	P	Bsh	Q2	21ACconventional21Bsh	Agrostis stolonifera	15
2621	21AC	conventional	21	P	Bsh	Q3	21ACconventional21Bsh	Agrostis stolonifera	3
1002	4AC	conventional	4	P	Bsh	Q10	4ACconventional4Bsh	Agrostis stolonifera	20
4497	4AC	conventional	4	P	Bsh	Q6	4ACconventional4Bsh	Agrostis stolonifera	5
5169	4AC	conventional	4	P	Bsh	Q7	4ACconventional4Bsh	Agrostis stolonifera	2
5838	4AC	conventional	4	P	Bsh	Q8	4ACconventional4Bsh	Agrostis stolonifera	15
6513	4AC	conventional	4	P	Bsh	Q9	4ACconventional4Bsh	Agrostis stolonifera	5
1030	6AC	conventional	6	P	Bsh	Q10	6ACconventional6Bsh	Agrostis stolonifera	5
1736	6AC	conventional	6	P	Bsh	Q2	6ACconventional6Bsh	Agrostis stolonifera	10
3149	9AC	conventional	9	P	Bsh	Q4	9ACconventional9Bsh	Agrostis stolonifera	5
